pump_outlet_Pa,expander_outlet_Pa,expander_eff,heater_outlet_K,net_kW,thermal_eff,Q_in_kW,cost_proxy
2333071.108072179,500000.0086892335,0.8999999996995579,402.58861642133684,127.59606241673094,0.12759606241673094,1000.0,295.29662389568745
2360649.9670891585,500000.01089704887,0.8999999999009874,410.0911868672642,128.04589645599822,0.1280458964559982,1000.0,299.1800480254229
2391823.6745860544,500000.04346577247,0.8999999995434121,407.1386034471602,128.9816058689765,0.12898160586897647,1000.0,303.6246147641006
2412224.957777931,500000.00244673755,0.899999999851044,412.9115005575053,129.26039565624168,0.12926039565624167,1000.0,306.56487742567697
2418829.779795887,500027.7365800913,0.89999999953465,409.2675747940227,129.58857096921582,0.12958857096921583,1000.0,307.5221251646646
2452525.754812072,500000.0575531429,0.89999999999743,422.5031593873628,129.72506508521852,0.12972506508521853,1000.0,312.4464773408041
2457048.217733102,500000.0575531429,0.89999999999743,422.5031593873628,129.84219435418174,0.12984219435418173,1000.0,313.11257832827084
2436823.956878367,500000.6775219027,0.8999999999914475,408.74148616568954,130.06358031745228,0.13006358031745227,1000.0,310.1433299055165
2480469.557305323,500002.64234119444,0.8999999998699777,408.577509999977,131.1380838562408,0.1311380838562408,1000.0,316.58187675715664
2493743.827709467,500000.0134933053,0.8999999999950125,412.8175578905474,131.31176671080286,0.13131176671080286,1000.0,318.5627483477704
2513813.1649403386,500000.64262269053,0.8999999960122047,408.6497771984002,131.92900982161044,0.13192900982161043,1000.0,321.57769932535626
2525485.74749726,500000.0029998795,0.899999978586208,407.2766397104972,132.22788338764522,0.1322278833876452,1000.0,323.3423503940089
2549321.496215224,500000.6415397016,0.8999999960236218,407.8921049815277,132.76304105743648,0.13276304105743647,1000.0,326.9712032091162
2566312.390103097,500000.0753940434,0.8999999982806872,405.61267475971107,133.16112657340477,0.13316112657340476,1000.0,329.5787787142176
2594794.554505885,500000.0592332339,0.8999999999972972,416.8932219822108,133.5347534316732,0.1335347534316732,1000.0,333.9887634031262
2619209.3771125963,500000.34142991784,0.8999999999641359,416.8932219822108,134.09306350104094,0.13409306350104094,1000.0,337.80773283894035
2652883.4173764,500000.0617132004,0.8999999999925369,415.42820899981876,134.89721231132188,0.13489721231132187,1000.0,343.1337127866162
